"Date and Time Run 1","Time (s) Run 1","Force Beam 1 (N) Run 1","Force Beam 2 (N) Run 1","Force Beam 3 (N) Run 1","Force Beam 4 (N) Run 1","Vertical Force (N) Run 1","Date and Time Run 2","Time (s) Run 2","Force Beam 1 (N) Run 2","Force Beam 2 (N) Run 2","Force Beam 3 (N) Run 2","Force Beam 4 (N) Run 2","Vertical Force (N) Run 2"
11/01/2022 08:48:36 am,0.000,29.85,60.20,-4.96,46.05,131.15,11/01/2022 08:50:51 am,0.000,-4.58,31.15,-3.27,33.19,56.50
11/01/2022 08:48:36 am,0.005,30.00,60.45,-4.81,45.92,131.57,11/01/2022 08:50:51 am,0.005,-4.55,30.95,-0.21,34.66,60.85
11/01/2022 08:48:36 am,0.010,29.92,60.65,-4.81,45.90,131.67,11/01/2022 08:50:51 am,0.010,-2.98,29.45,8.62,35.12,70.22
11/01/2022 08:48:36 am,0.015,29.90,60.55,-4.68,45.90,131.67,11/01/2022 08:50:51 am,0.015,-3.10,49.07,20.86,53.08,119.91
11/01/2022 08:48:36 am,0.020,29.92,60.60,-4.86,45.97,131.65,11/01/2022 08:50:51 am,0.020,-3.25,77.65,-0.80,64.95,138.55
11/01/2022 08:48:36 am,0.025,30.10,60.40,-4.81,45.85,131.55,11/01/2022 08:50:51 am,0.025,-2.85,87.51,-5.49,105.30,184.47
11/01/2022 08:48:36 am,0.030,29.97,60.25,-4.73,45.92,131.42,11/01/2022 08:50:51 am,0.030,55.56,113.06,1.22,79.55,249.41
11/01/2022 08:48:36 am,0.035,29.95,60.25,-4.96,45.82,131.07,11/01/2022 08:50:51 am,0.035,56.89,90.38,-2.64,62.49,207.13
11/01/2022 08:48:36 am,0.040,29.92,60.43,-4.83,45.92,131.45,11/01/2022 08:50:51 am,0.040,16.13,83.05,-5.97,105.42,198.64
11/01/2022 08:48:36 am,0.045,30.10,60.50,-4.68,45.87,131.80,11/01/2022 08:50:51 am,0.045,25.42,62.63,-4.43,68.12,151.74
11/01/2022 08:48:36 am,0.050,30.12,60.45,-4.81,45.87,131.65,11/01/2022 08:50:51 am,0.050,25.39,35.78,-4.03,60.38,117.53
11/01/2022 08:48:36 am,0.055,29.92,60.45,-4.58,45.87,131.67,11/01/2022 08:50:51 am,0.055,7.34,42.59,-4.76,69.28,114.46
11/01/2022 08:48:36 am,0.060,30.02,60.68,-4.88,45.90,131.72,11/01/2022 08:50:51 am,0.060,2.63,37.33,-4.93,65.58,100.61
11/01/2022 08:48:36 am,0.065,29.90,60.58,-4.73,45.82,131.57,11/01/2022 08:50:51 am,0.065,1.86,35.38,-4.58,61.78,94.43
11/01/2022 08:48:36 am,0.070,29.72,60.30,-4.83,46.10,131.30,11/01/2022 08:50:51 am,0.070,1.20,33.00,-4.83,58.58,87.96
11/01/2022 08:48:36 am,0.075,29.85,60.35,-4.88,45.70,131.02,11/01/2022 08:50:51 am,0.075,0.00,31.08,-4.73,57.31,83.66
11/01/2022 08:48:36 am,0.080,29.80,60.53,-4.78,45.95,131.50,11/01/2022 08:50:51 am,0.080,-0.15,27.85,-4.81,54.67,77.57
11/01/2022 08:48:36 am,0.085,29.80,60.25,-4.86,46.03,131.22,11/01/2022 08:50:51 am,0.085,-0.25,25.80,-4.76,51.73,72.53
11/01/2022 08:48:36 am,0.090,29.92,60.38,-4.83,45.90,131.37,11/01/2022 08:50:51 am,0.090,-0.65,24.47,-4.58,49.17,68.41
11/01/2022 08:48:36 am,0.095,30.00,60.43,-4.71,45.92,131.65,11/01/2022 08:50:51 am,0.095,-1.30,23.97,-4.63,45.92,63.97
11/01/2022 08:48:36 am,0.100,29.82,60.53,-4.93,45.97,131.40,11/01/2022 08:50:51 am,0.100,-3.10,22.62,-4.43,43.82,58.91
11/01/2022 08:48:36 am,0.105,29.72,60.50,-4.66,45.92,131.50,11/01/2022 08:50:51 am,0.105,-3.78,20.89,-4.61,42.17,54.68
11/01/2022 08:48:36 am,0.110,29.65,60.40,-4.91,45.90,131.05,11/01/2022 08:50:51 am,0.110,-4.05,19.11,-4.48,39.79,50.37
11/01/2022 08:48:36 am,0.115,29.60,60.45,-4.78,46.20,131.48,11/01/2022 08:50:51 am,0.115,-4.25,18.19,-4.48,35.53,44.98
11/01/2022 08:48:36 am,0.120,29.80,60.43,-4.78,46.15,131.60,11/01/2022 08:50:51 am,0.120,-4.28,16.89,-4.35,33.67,41.93
